,pkts,bytes,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,_peer_ip
39,2,228,0,3.123283386230469e-05,3.123283386230469e-05,0.0,3.123283386230469e-05,3.123283386230469e-05,3.123283386230469e-05,1,1,174,54,64035.17557251908,32017.58778625954,32017.58778625954,221.187.100.210
40,2,228,0,3.600120544433594e-05,3.600120544433594e-05,0.0,3.600120544433594e-05,3.600120544433594e-05,3.600120544433594e-05,1,1,174,54,55553.69536423841,27776.847682119205,27776.847682119205,48.96.123.191
41,2,228,0,2.002716064453125e-05,2.002716064453125e-05,0.0,2.002716064453125e-05,2.002716064453125e-05,2.002716064453125e-05,1,1,174,54,99864.38095238095,49932.19047619047,49932.19047619047,72.114.46.85
42,2,228,0,4.553794860839844e-05,4.553794860839844e-05,0.0,4.553794860839844e-05,4.553794860839844e-05,4.553794860839844e-05,1,1,174,54,43919.41361256545,21959.706806282724,21959.706806282724,47.126.77.156
43,2,228,0,5.054473876953125e-05,5.054473876953125e-05,0.0,5.054473876953125e-05,5.054473876953125e-05,5.054473876953125e-05,1,1,174,54,39568.90566037736,19784.45283018868,19784.45283018868,242.86.89.187
44,2,228,0,5.555152893066406e-05,5.555152893066406e-05,0.0,5.555152893066406e-05,5.555152893066406e-05,5.555152893066406e-05,1,1,174,54,36002.609442060086,18001.304721030043,18001.304721030043,105.219.187.142
45,2,228,0,6.008148193359375e-05,6.008148193359375e-05,0.0,6.008148193359375e-05,6.008148193359375e-05,6.008148193359375e-05,1,1,174,54,33288.12698412698,16644.06349206349,16644.06349206349,187.145.135.186
46,2,228,0,4.696846008300781e-05,4.696846008300781e-05,0.0,4.696846008300781e-05,4.696846008300781e-05,4.696846008300781e-05,1,1,174,54,42581.766497461926,21290.883248730963,21290.883248730963,85.79.186.106
47,2,228,0,5.269050598144531e-05,5.269050598144531e-05,0.0,5.269050598144531e-05,5.269050598144531e-05,5.269050598144531e-05,1,1,174,54,37957.50226244344,18978.75113122172,18978.75113122172,47.196.85.104
48,2,228,0,1.4066696166992188e-05,1.4066696166992188e-05,0.0,1.4066696166992188e-05,1.4066696166992188e-05,1.4066696166992188e-05,1,1,174,54,142179.7966101695,71089.89830508475,71089.89830508475,21.111.184.200
49,2,228,0,1.7404556274414062e-05,1.7404556274414062e-05,0.0,1.7404556274414062e-05,1.7404556274414062e-05,1.7404556274414062e-05,1,1,174,54,114912.43835616438,57456.21917808219,57456.21917808219,219.25.186.108
